date,value,daily_ret,picks
pools_2025-12-07,1.0000957053940849,9.570539408498526e-05,10
pools_2025-12-08,1.000188105695817,9.239145937101705e-05,10
pools_2025-12-09,1.0002786732494846,9.055052059870964e-05,10
pools_2025-12-10,1.0003428247932071,6.413367138395095e-05,10
pools_2025-12-12,1.0004197125207341,7.686137754096055e-05,10
